"Link Title","Message","Time Posted (PST)","# Likes","# Shares","Has Question?","Update Type","Link URL","Post URL"
"Most persistent movie clichés","What would you add to the list? http://on.cnn.com/11gQSIF","2013-05-31 21:30:00",299,14,"Yes","link","http://on.cnn.com/11gQSIF","http://www.facebook.com/5550296508/posts/10151681167191509"
"'Mermaids' hoax a TV ratings hit ","Did you fall for it? http://on.cnn.com/11gQKbS","2013-05-31 20:30:00",1292,579,"Yes","video","http://on.cnn.com/11gQKbS","http://www.facebook.com/5550296508/posts/10151681163876509"
"[Photo]","Today's spectacular Travel Photo of the Day comes from The Narrows at Zion National Park.     See more travel photos in the beautiful gallery and submit a photo of your own for it: http://on.cnn.com/11tXAXn","2013-05-31 19:30:01",5168,547,"No","photo","http://www.facebook.com/photo.php?fbid=10151681324486509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151681744301509"
"10 embarrassing fast food fails","Papa John's made headlines this week after a delivery man pocket-dialed a customer during a racist tirade. Here's a look back at a few more not-so-hot fast food moments: http://on.cnn.com/11tYWS2","2013-05-31 19:00:00",476,77,"No","link","http://on.cnn.com/11tYWS2","http://www.facebook.com/5550296508/posts/10151681161291509"
"CNN Hero: Mona Rutger","Meet CNN Hero Mona Rutger who’s rehabilitating injured animals so they can get back into the wild. Do you know a hero like Mona? Tell us about them! Nominate CNN Heroes only at CNNHeroes.com. http://on.cnn.com/11tYvqF","2013-05-31 18:00:00",762,35,"Yes","link","http://on.cnn.com/11tYvqF","http://www.facebook.com/5550296508/posts/10151681155036509"
"[Photo]","It's an unsolved case from 1960, but police say all evidence in the murder of a beautiful schoolteacher pointed to a Catholic priest. Now, decades later, CNN investigates as the victim's family crusades for justice: http://on.cnn.com/11uiNk7    Tune in to CNN at 10 p.m. ET tonight to watch an exclusive one-hour Anderson Cooper 360 special report.","2013-05-31 17:10:01",1725,215,"No","photo","http://www.facebook.com/photo.php?fbid=10151681531591509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151681577086509"
"Holly Hughes: My weight loss success","Attorney Holly Hughes knew her weight, at 300 pounds, called for drastic measures. She decided to have gastric bypass surgery, but cautions it's not a cure-all and that behavioral changes need to follow. Since her surgery, Hughes has lost 160 pounds. See her transformation: http://on.cnn.com/11tVvuB","2013-05-31 15:00:00",268,18,"No","link","http://on.cnn.com/11tVvuB","http://www.facebook.com/5550296508/posts/10151681292396509"
"Staged kidnapping goes deadly","A man used a fake Facebook account to lure a girl out of her home to stage a kidnapping and eventual rescue, but ended up killing her, according to a Maine State Police affidavit. http://on.cnn.com/11tWxqj","2013-05-31 14:30:01",545,393,"No","link","http://on.cnn.com/11tWxqj","http://www.facebook.com/5550296508/posts/10151681121481509"
"Shocking surprise found in Bible","A 75-year-old California woman got the biggest surprise of her life when she brought home a Bible from a used bookstore. See what was tucked away in the pages. http://on.cnn.com/11tV03B","2013-05-31 13:00:01",4708,821,"No","video","http://on.cnn.com/11tV03B","http://www.facebook.com/5550296508/posts/10151681093696509"
"[Photo]","The vast majority of U.S. movie theaters have changed to digital projection instead of film. Do you have a preference? Take a look at how screening movies has changed: http://on.cnn.com/11tT5fs","2013-05-31 12:30:00",381,56,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151681081526509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151681115321509"
"San Antonio Spurs poised to win 5th NBA crown, but... yawn?","NBA fans are filling message boards and Twitter saying that they want better role models, less individualism and players who show respect for the game. But one NBA reporter says that many fans are hypocrites who demand things they don't really want. Do you agree? http://on.cnn.com/11gKe57","2013-05-31 12:00:00",278,38,"Yes","link","http://on.cnn.com/11gKe57","http://www.facebook.com/5550296508/posts/10151681023476509"
"Are drones the highways of the future?","Could drones replace roads and highways? For the past 18 months a tech start-up has been working towards creating a network of unmanned drones to help connect rural areas with little or no access to road systems: http://on.cnn.com/11gIybC","2013-05-31 11:30:32",377,35,"Yes","link","http://on.cnn.com/11gIybC","http://www.facebook.com/5550296508/posts/10151680997651509"
"Fighting germs with sharks","Forget chemicals or pills in the fight against bacterial infections. One entrepreneur is betting that the secret lies with sharks. Do you think this could be the next breakthrough? http://on.cnn.com/11tG9Gu","2013-05-31 11:00:02",220,25,"Yes","link","http://on.cnn.com/11tG9Gu","http://www.facebook.com/5550296508/posts/10151680803276509"
"[Photo]","Zeray Alemseged explains how he discovered ""Selam,"" the fossil known as ""the world's oldest child"": http://on.cnn.com/11gAEz6","2013-05-31 10:30:01",1192,161,"No","photo","http://www.facebook.com/photo.php?fbid=10151680783066509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151680864541509"
"Robots almost ready for battlefield ","What do you think about robots for the battlefield? Take a look at some of the robots developed by the Pentagon: http://on.cnn.com/11tDi07","2013-05-31 10:00:01",948,336,"Yes","video","http://on.cnn.com/11tDi07","http://www.facebook.com/5550296508/posts/10151680751976509"
"Next Obamacare battle could get ugly","Where do you stand on Obamacare? In what may be the epic battle of the summer, the White House and Republicans will square off in efforts to sell or roll back the health care measure. Here's a glimpse into each side's playbook and the tactics they hope will win: http://on.cnn.com/11gtZVH","2013-05-31 09:20:00",409,45,"Yes","link","http://on.cnn.com/11gtZVH","http://www.facebook.com/5550296508/posts/10151680660986509"
"[Photo]","For those of you dreaming of visiting Mars, readings taken during the Curiosity rover's voyage to the Red Planet may make you think twice. See why a trip to Mars would be like getting an abdominal CT scan about once every five days: http://on.cnn.com/11t7OXT","2013-05-31 08:30:00",1098,219,"No","photo","http://www.facebook.com/photo.php?fbid=10151680297126509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151680650896509"
"CNN Exclusive: Pistorius 'a broken man'","In an exclusive interview, Oscar Pistorius' uncle tells CNN the Olympian must live with the fact that he killed the love of his life: http://on.cnn.com/11tuvv2","2013-05-31 08:09:43",250,20,"No","link","http://on.cnn.com/11tuvv2","http://www.facebook.com/5550296508/posts/10151680613431509"
"The electronic wastebasket of the world","Do you know what happens to your old laptop or cellphone when you throw it away? Or where it even goes? According to a recent United Nations report, this country is the largest e-waste dumping site in the world: http://on.cnn.com/11t4TyE","2013-05-31 07:30:01",387,132,"Yes","link","http://on.cnn.com/11t4TyE","http://www.facebook.com/5550296508/posts/10151680262326509"
"Large asteroid zipping past Earth","An asteroid will be flying past Earth today -- and it's traveling with its own moon in tow: http://on.cnn.com/11t3Ezm","2013-05-31 07:00:02",2432,871,"No","link","http://on.cnn.com/11t3Ezm","http://www.facebook.com/5550296508/posts/10151680245336509"
"Is this Amelia Earhart's plane?","A grainy sonar image could unravel a mystery that has baffled historians for years: http://on.cnn.com/11t1ZtM","2013-05-31 06:30:00",675,144,"No","link","http://on.cnn.com/11t1ZtM","http://www.facebook.com/5550296508/posts/10151680271021509"
"[Photo]","Arvind Mahankali, a 13-year-old eighth-grader from Bayside Hills, New York, has won the Scripps National Spelling Bee. See his winning word and what he hopes to become: http://on.cnn.com/11t2uUE","2013-05-31 06:00:42",2717,195,"No","photo","http://www.facebook.com/photo.php?fbid=10151680236721509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151680400311509"
"Boston suspects: new clues on video","Days before the bombings, suspects Dzhokhar and Tamerlan Tsarnaev worked out tirelessly in a Boston gym: http://on.cnn.com/11t1IH8","2013-05-31 05:30:00",246,28,"No","link","http://on.cnn.com/11t1IH8","http://www.facebook.com/5550296508/posts/10151680219131509"
"U.S. mom freed from Mexican jail","Yanira Maldonado, the Arizona mother of seven accused of drug-smuggling, is headed home: http://on.cnn.com/11t1yzu","2013-05-31 05:00:01",1623,62,"No","link","http://on.cnn.com/11t1yzu","http://www.facebook.com/5550296508/posts/10151680215161509"
"Grumpy Cat's going Hollywood","According to reports, the feline famous for her sourpuss could soon have a movie built around her. See the premise of the film and tell us if you’ll see it. http://on.cnn.com/178jRm1","2013-05-30 22:00:00",1600,404,"No","link","http://on.cnn.com/178jRm1","http://www.facebook.com/5550296508/posts/10151679003556509"
"OPINION: When mom earns more, it's tough on dad","A study finds that, more and more, married mothers are out-earning their husbands. Peggy Drexler says men say they love it, but are struggling with the new reality. Do you find yourself in a similar situation? http://on.cnn.com/115oepz","2013-05-30 21:00:00",482,38,"Yes","link","http://on.cnn.com/115oepz","http://www.facebook.com/5550296508/posts/10151678972521509"
"Cocaine speedboats halted","Authorities intercepted two speedboats -- sinking one -- and recovered about 13,000 pounds of cocaine worth almost $1 billion: http://on.cnn.com/115sRjw","2013-05-30 19:50:01",2290,438,"No","link","http://on.cnn.com/115sRjw","http://www.facebook.com/5550296508/posts/10151679134791509"
"[Photo]","Gleaming high-tech cities are being planned across Africa. Some say they are the continent’s future, while others describe them as “urban fantasies.” See the ambitious new developments and let us know what you think. http://on.cnn.com/115pQjf","2013-05-30 19:00:01",2280,512,"No","photo","http://www.facebook.com/photo.php?fbid=10151678985511509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151679575556509"
" Opinion: Empowered women make nations strong ","“One key to empowerment — and an issue that's a personal priority for me — is letting women decide when to have children,” writes Melinda Gates for CNN Opinion. If these girls don’t get pregnant and are able to stay in school, everything changes - see how: http://on.cnn.com/115q4Xr  CNN is taking a look at the power of education and the extraordinary girls overcoming barriers to achieve it. For more, visit CNN.com/GirlRising.","2013-05-30 18:00:01",914,78,"No","link","http://on.cnn.com/115q4Xr","http://www.facebook.com/5550296508/posts/10151678993326509"
"The 40th Annual Daytime Emmy® Awards VIP Sweepstakes ","Are you looking forward to the Emmys? The 40th Annual Daytime Emmy Awards will air live on HLN June 16, and now you can enter for a chance to win a trip to LA to attend in person: http://bit.ly/17fX2wB","2013-05-30 17:30:00",170,3,"Yes","link","http://bit.ly/17fX2wB","http://www.facebook.com/5550296508/posts/10151678980881509"
"New museum gives close-up view of Henry VIII's Mary Rose warship","A Tudor warship sunk off the English coast more than 400 years ago will go on display in a new museum Friday, along with thousands of artifacts recovered with the wreck: http://on.cnn.com/115nwbZ","2013-05-30 17:00:00",348,23,"No","link","http://on.cnn.com/115nwbZ","http://www.facebook.com/5550296508/posts/10151679188256509"
"Dying girl's plight sparks fight over organ transplants","The plight of a 10-year-old girl who could die within weeks without a lung transplant has sparked a fight for new rules governing organ donations: http://on.cnn.com/115nl0b","2013-05-30 16:00:00",679,126,"No","link","http://on.cnn.com/115nl0b","http://www.facebook.com/5550296508/posts/10151678936996509"
"National contest isn't be-all and end-all","Winning the National Spelling Bee can lead to great experiences as well as disappointing letdowns. 1986 winner Jon Pennington gives his thoughts on the contest and its aftermath. Were you ever a school spelling bee champ? http://on.cnn.com/115mWLm","2013-05-30 15:30:01",195,5,"Yes","link","http://on.cnn.com/115mWLm","http://www.facebook.com/5550296508/posts/10151679226281509"
"Apparently This Matters: Teatime for Hitler","JCPenney is selling a new teapot that apparently looks a lot like Adolf Hitler. The billboard in California featuring the teapot is causing a big stir, but the company says that any resemblance was unintentional. What do you think about the fuss? http://on.cnn.com/178czyx","2013-05-30 14:00:00",824,497,"Yes","link","http://on.cnn.com/178czyx","http://www.facebook.com/5550296508/posts/10151678910106509"
"Summer in the park: Grand Teton","Have you visited Wyoming's expansive Grand Teton National Park? See the ranger-recommended sites and tell us if there's any other spots you'd add to the list. http://on.cnn.com/1789ajx","2013-05-30 13:30:00",282,25,"Yes","link","http://on.cnn.com/1789ajx","http://www.facebook.com/5550296508/posts/10151678895546509"
"NYC principals fight back against state tests","What do you think about standardized tests for admissions? See why a group of 15 New York City principals say they will no longer use state test scores as part of their admissions criteria: http://on.cnn.com/1787erb","2013-05-30 13:00:01",314,33,"Yes","link","http://on.cnn.com/1787erb","http://www.facebook.com/5550296508/posts/10151678823581509"
"STD site partners with school district","Defenders say it's an important tool to help teens stay safe, but critics say it provides ""tacit endorsement"" for teen sexual activity. What do you think? http://on.cnn.com/115djfA","2013-05-30 12:30:01",170,28,"Yes","link","http://on.cnn.com/115djfA","http://www.facebook.com/5550296508/posts/10151678963856509"
"Woman detained in Mexico: 'I'm innocent' ","Was she framed? An Arizona mom accused of drug smuggling says she is innocent. http://on.cnn.com/115bZcy","2013-05-30 11:30:01",440,41,"Yes","video","http://on.cnn.com/115bZcy","http://www.facebook.com/5550296508/posts/10151678754126509"
"Should I be concerned about the new virus?","When the head of the World Health Organization says a new virus is her ""greatest concern right now,"" people worldwide may wonder whether they should be concerned. Here is what you need to know: http://on.cnn.com/115cAem","2013-05-30 11:00:00",413,183,"No","link","http://on.cnn.com/115cAem","http://www.facebook.com/5550296508/posts/10151678762726509"
"Time-lapse brings Antarctic ice breaking adventure to life","Can you imagine a world where the sun never sets? A scientist has turned a remarkable two-month Antarctic expedition into a stunning video: http://on.cnn.com/115ba3H","2013-05-30 10:30:01",375,64,"Yes","link","http://on.cnn.com/115ba3H","http://www.facebook.com/5550296508/posts/10151678741181509"
"Opinion: Let's talk about autism in public spaces","Bridget Mora is the mother of a 5-year-old son with an autism spectrum disorder. She says parents of autistic children can often face public judgment and that the public needs to be more aware of autism behaviors. Have you dealt with insensitivity toward your children or yourself due to a condition? http://on.cnn.com/11584wm","2013-05-30 10:00:00",381,89,"Yes","link","http://on.cnn.com/11584wm","http://www.facebook.com/5550296508/posts/10151678649791509"
"[Photo]","Will mammoths be brought back to life? Scientists have moved one step closer to possibly cloning them with the discovery of liquid blood in a well-preserved carcass: http://on.cnn.com/177Vu8b","2013-05-30 09:30:01",3536,1003,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151678599871509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151678639651509"
"Record-setting base jump","After two years of planning and four days of arduous trekking, see Valery Rozov jump off Mount Everest. http://on.cnn.com/177qfdm","2013-05-30 08:34:48",417,83,"No","video","http://on.cnn.com/177qfdm","http://www.facebook.com/5550296508/posts/10151678388631509"
"Boy, 12, pleads not guilty to killing sister","A 12-year-old accused with stabbing to death his 8-year-old sister has pleaded not guilty, his attorney told CNN. http://on.cnn.com/114tsSo","2013-05-30 08:00:00",172,72,"No","link","http://on.cnn.com/114tsSo","http://www.facebook.com/5550296508/posts/10151678133016509"
"Americans: We're losing our religion","Do you think religion is losing its influence? According to a new survey, more than three in four Americans say it is in the United States. http://on.cnn.com/114si9E","2013-05-30 07:30:01",1421,290,"Yes","link","http://on.cnn.com/114si9E","http://www.facebook.com/5550296508/posts/10151678158456509"
"Joe Paterno’s family will sue the NCAA","See why the former football coach’s family, along with others, will file a lawsuit today: http://on.cnn.com/177k4Gf","2013-05-30 07:00:01",219,40,"No","link","http://on.cnn.com/177k4Gf","http://www.facebook.com/5550296508/posts/10151678107346509"
"Media to Holder: No off record meetings","Media outlets are objecting to Attorney General Eric Holder's plans for off-the-record meetings: http://on.cnn.com/177rNUI","2013-05-30 06:30:01",244,31,"No","link","http://on.cnn.com/177rNUI","http://www.facebook.com/5550296508/posts/10151678228026509"
"Baby rescued from pipe out of hospital","Chinese police say a baby boy who became wedged in a toilet pipe soon after his birth has been taken home from the hospital by his maternal grandparents: http://on.cnn.com/177ld0g","2013-05-30 05:59:55",2031,565,"No","link","http://on.cnn.com/177ld0g","http://www.facebook.com/5550296508/posts/10151678251886509"
"Inside the hunt for a leaker","When the government investigates the alleged unauthorized release of sensitive information, the focus is normally on the person doing the leaking. But the case against a State Department worker has put the spotlight on the reporter who received those communications: http://on.cnn.com/114rQID","2013-05-30 05:30:00",168,11,"No","link","http://on.cnn.com/114rQID","http://www.facebook.com/5550296508/posts/10151678114921509"
"Son born in jail works for years to raise mom’s $172 bond","In a story that could step straight from the pages of a Charles Dickens novel, an Indian son has worked night and day in a garment factory to earn the bail money to get his mother out of jail: http://on.cnn.com/177jLuY","2013-05-30 05:00:01",2967,450,"No","link","http://on.cnn.com/177jLuY","http://www.facebook.com/5550296508/posts/10151678094901509"
"Could condoms change the world?","Could condoms change the world? Two organizations are willing to give it a shot: http://on.cnn.com/Zu6YAi","2013-05-29 22:30:01",596,64,"Yes","link","http://on.cnn.com/Zu6YAi","http://www.facebook.com/5550296508/posts/10151677049071509"
"Host: Christie's weight isn't a big deal","Does a president’s weight matter? Ben Ferguson on Piers Morgan Live says no and it shouldn’t. What do you think? http://on.cnn.com/15jybEa","2013-05-29 22:00:01",182,5,"Yes","link","http://on.cnn.com/15jybEa","http://www.facebook.com/5550296508/posts/10151677008126509"
"Find décor inspiration in your closet","Ever wonder how to inject some real personality and style into the way you decorate your home? Interior designer Erin Gates told us all we had to do was open our closet. Is it really that easy? See for yourself: http://on.cnn.com/15jy0IW","2013-05-29 21:00:01",160,3,"Yes","link","http://on.cnn.com/15jy0IW","http://www.facebook.com/5550296508/posts/10151677002426509"
"[Photo]","In today's Travel Photo of the Day, the Italian village of Positano spills from the cliffs onto the beach. Have a gorgeous travel photo you'd like to share? See the gallery and submit a photo of your own for it: http://on.cnn.com/15jxM4J","2013-05-29 19:50:00",6177,820,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151677021541509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151677504861509"
"Probing the mysteries of probiotics","Do you take probiotics? Sarkis Mazmanian has made it his life's work to study good bacteria in our guts. Though he says there's no evidence that probiotics provide health benefits, there is still some good news: http://on.cnn.com/15jwM0s","2013-05-29 18:00:01",289,43,"Yes","link","http://on.cnn.com/15jwM0s","http://www.facebook.com/5550296508/posts/10151676996691509"
"'I am an original young man'","Landon Weeks, 17, was born with a congenital birth defect called phocomelia, which causes limbs to be so short that hands and feet are very close to the body. Despite his physical challenges, Landon has won over local audiences with his passion for music. See his inspiring story: http://on.cnn.com/15jwl6d","2013-05-29 17:00:01",1425,181,"No","link","http://on.cnn.com/15jwl6d","http://www.facebook.com/5550296508/posts/10151676987951509"
"OPINION: For strong daughters, stop with the sex stereotypes","David Perry says a patriarchal society conspires to render girls to be weak, subordinate, and sexually objectified. He stresses that daughters need to be raised strong, not closeted and coddled. Do you think sex stereotypes harm girls? http://on.cnn.com/15jvgvo  CNN is taking a look at the power of education and the extraordinary girls overcoming barriers to achieve it. For more, visit CNN.com/GirlRising","2013-05-29 16:00:01",1473,272,"Yes","link","http://on.cnn.com/15jvgvo","http://www.facebook.com/5550296508/posts/10151676977551509"
"How to fix health problems with exercise","Did you know that you can ease anxiety naturally with cardio? Or that an aerobic workout is a natural cold-fighter? From daytime sleepiness to a weak immune system, here are some active solutions. Have you tried any of these and found it helped? http://on.cnn.com/15jv4fA","2013-05-29 15:00:01",634,179,"Yes","link","http://on.cnn.com/15jv4fA","http://www.facebook.com/5550296508/posts/10151676973151509"
"People use smartphones nearly an hour a day, study says","How much time did you spend on your smartphone? Were you mostly texting, checking social media, or were you actually talking to another person? The answer may vary if you are an Android or an iPhone user: http://on.cnn.com/15juKgJ","2013-05-29 14:00:00",228,30,"Yes","link","http://on.cnn.com/15juKgJ","http://www.facebook.com/5550296508/posts/10151676969151509"
"[Photo]","Photographer Takayuki Maekawa has traveled to Asia, India, Africa and North America to capture the human side of animals in his images. Maekawa recently won the Nikkei National Geographic Photo Prize, which recognizes promising young photographers from Japan. See his incredible photos: http://on.cnn.com/15ju8I3","2013-05-29 13:30:47",5131,1011,"No","photo","http://www.facebook.com/photo.php?fbid=10151676983081509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151676983166509"
"Gangs talk truce in world's murder capital","The country with the world's highest murder rate is backing talks between its two most violent gangs in search of a possible truce: http://on.cnn.com/15jbsbi","2013-05-29 13:00:01",334,58,"No","link","http://on.cnn.com/15jbsbi","http://www.facebook.com/5550296508/posts/10151676653616509"
"Mom dresses girl as 5 famous women ","To celebrate her daughter turning 5, photographer Jaime Moore searched for strong female role models throughout history and selected five iconic portraits to replicate. From Amelia Earhart to Hellen Keller, see the lovely photos as Moore describes the fun mother-daughter project and the inspirational message behind it. http://on.cnn.com/15jaZpx","2013-05-29 12:30:01",1173,152,"No","video","http://on.cnn.com/15jaZpx","http://www.facebook.com/5550296508/posts/10151676650161509"
"Lasers turn cement into liquid metal","Is it possible to zap cement with a laser and turn it into metal? Researchers have announced that they have discovered a formula to do just that: http://on.cnn.com/15jaNGW","2013-05-29 12:00:01",382,132,"Yes","link","http://on.cnn.com/15jaNGW","http://www.facebook.com/5550296508/posts/10151676644371509"
"Walking the path of a tornado","Could tracing the Oklahoma twister on foot help us make sense of the disaster? Along the storm's path of wreckage, CNN's John Sutter found small wonders and enormous optimism: http://on.cnn.com/ZtEmqT","2013-05-29 11:30:00",145,23,"Yes","link","http://on.cnn.com/ZtEmqT","http://www.facebook.com/5550296508/posts/10151676638591509"
"[Photo]","Only 51 centimeters long, learn more about the newly discovered dinosaur species: http://on.cnn.com/15j8rYz","2013-05-29 11:00:01",4244,1208,"No","photo","http://www.facebook.com/photo.php?fbid=10151676627411509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151676683276509"
"Police knock down Bynes sex harassment claim","New York police say they've found no evidence corroborating a claim by actress Amanda Bynes that she was sexually harassed after police were called to her apartment: http://on.cnn.com/15j6gEt","2013-05-29 10:30:00",196,17,"No","link","http://on.cnn.com/15j6gEt","http://www.facebook.com/5550296508/posts/10151676581521509"
"Facebook says it'll do more to stop hate","Under mounting pressure from activists, Facebook is ramping up efforts to stamp out hate speech, particularly depictions of violence against women. See the steps that Facebook has taken to address the issue: http://on.cnn.com/Ztu5ux","2013-05-29 10:00:01",1516,226,"No","link","http://on.cnn.com/Ztu5ux","http://www.facebook.com/5550296508/posts/10151676524311509"
"High-schooler builds one-man submarine","What might you build with $2,000 in six months? One 18-year-old high school student built a fully functioning one-man submarine. See how the innovative vessel works: http://on.cnn.com/ZtsvsP","2013-05-29 09:30:00",1144,207,"Yes","link","http://on.cnn.com/ZtsvsP","http://www.facebook.com/5550296508/posts/10151676460826509"
"[Photo]","A Russian rocket docked late Tuesday with the International Space Station, bringing two space veterans and a rookie astronaut one step closer to a long stay orbiting the Earth: http://on.cnn.com/Ztpj0i     Photo: The astronauts wave to a crowd during a sending-off ceremony.","2013-05-29 09:00:02",1369,112,"No","photo","http://www.facebook.com/photo.php?fbid=10151676437506509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151676465961509"
"Historic wedding in France","The French city of Montpellier will witness history today when its mayor officiates the nation's first same-sex marriage. What are your thoughts on France's first same-sex wedding? http://on.cnn.com/ZtjC2q","2013-05-29 08:28:04",1933,84,"Yes","link","http://on.cnn.com/ZtjC2q","http://www.facebook.com/5550296508/posts/10151676412686509"
"Apple CEO questions Google Glass","Google Glass, the wearable technology from the search giant, is gaining a lot of buzz. But don’t count on Apple CEO Tim Cook being a huge fan: http://on.cnn.com/ZsWuRv","2013-05-29 07:54:50",194,28,"No","link","http://on.cnn.com/ZsWuRv","http://www.facebook.com/5550296508/posts/10151676341406509"
"Mother of newborn saved from toilet pipe sorry for what she did","The mother of a newborn rescued from a toilet pipe in China ""deeply regrets what she did,"" police said. See the latest on the investigation: http://on.cnn.com/15ikipP","2013-05-29 07:00:01",1103,789,"No","link","http://on.cnn.com/15ikipP","http://www.facebook.com/5550296508/posts/10151676038196509"
"Michelle Bachmann won’t run for House again","U.S. Rep. Michele Bachmann will not seek re-election to her Minnesota congressional seat next year, but stresses she has no plans to fade from public view: http://on.cnn.com/ZsTswG","2013-05-29 06:30:01",1036,81,"No","link","http://on.cnn.com/ZsTswG","http://www.facebook.com/5550296508/posts/10151676024571509"
"Harvard dean quits after e-mail scandal","Months after a secret e-mail search controversy at Harvard College, Evelynn M. Hammonds announced that she will step down as dean. What do you think about her resignation? http://on.cnn.com/15iiE7v","2013-05-29 06:00:00",160,16,"Yes","link","http://on.cnn.com/15iiE7v","http://www.facebook.com/5550296508/posts/10151676074411509"
"Severe weather for more than half the country","The Midwest is in for more bad weather today, including strong tornadoes, large hail and damaging winds: http://on.cnn.com/15iiddo","2013-05-29 05:30:00",434,202,"No","link","http://on.cnn.com/15iiddo","http://www.facebook.com/5550296508/posts/10151676012791509"
"[Photo]","Former star college quarterback Cullen Finnerty, who played briefly in the NFL, was found dead in northern Michigan, Grand Valley State University said. http://on.cnn.com/15ihLfo","2013-05-29 05:00:01",455,123,"No","photo","http://www.facebook.com/photo.php?fbid=10151676008121509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151676070031509"
"Top 10 burgers around the country","What are some of your favorite burger joints that you’d add to the list? http://on.cnn.com/16nlmgC","2013-05-28 21:40:01",518,82,"Yes","link","http://on.cnn.com/16nlmgC","http://www.facebook.com/5550296508/posts/10151674757746509"
"Unintentional marijuana exposures up in Colorado kids","The state of Colorado is seeing an increase in the number of children accidentally exposed to medical marijuana, according to a new study in Pediatric JAMA: http://on.cnn.com/16nmJvU","2013-05-28 20:30:00",386,71,"No","link","http://on.cnn.com/16nmJvU","http://www.facebook.com/5550296508/posts/10151674780451509"
"'Arrested Development': What the critics are saying","Were you one of the hardcore fans who binge watched the 15 new episodes of Arrested Development? See what the critics had to say and share with us if you agree or disagree: http://on.cnn.com/16nlzAs","2013-05-28 19:40:01",315,19,"Yes","link","http://on.cnn.com/16nlzAs","http://www.facebook.com/5550296508/posts/10151674768116509"
"The world's happiest country is...","Which countries would you say are the happiest? See the top ten and the country that has placed first for the third year running: http://on.cnn.com/16nkGbh","2013-05-28 19:00:00",1013,426,"Yes","link","http://on.cnn.com/16nkGbh","http://www.facebook.com/5550296508/posts/10151674749061509"
"[Photo]","From San Francisco's Golden Gate Bridge to London’s iconic Tower Bridge, take a look at some of the world’s most beautiful bridges. Are there any others you’d add to the list? http://on.cnn.com/16nk0CH    Photo: Henderson Wave Bridge, Singapore.","2013-05-28 18:13:34",3185,496,"Yes","photo","http://www.facebook.com/photo.php?fbid=10151675240771509&set=a.369810096508.159795.5550296508&type=1&relevant_count=1","http://www.facebook.com/5550296508/posts/10151675249781509"
"Video game helps kids fight cancer","See how one video game designed for young cancer patients is helping players understand what's happening in their treatment: http://on.cnn.com/16nkvg8","2013-05-28 17:00:00",338,20,"No","link","http://on.cnn.com/16nkvg8","http://www.facebook.com/5550296508/posts/10151674743241509"
"7 million students brace for surge in loan rates","It's looking increasingly likely some 7 million students taking out subsidized loans for the next school year will have to dig deeper in their pockets to pay them off: http://on.cnn.com/16nnO6Y","2013-05-28 16:30:01",403,74,"No","link","http://on.cnn.com/16nnO6Y","http://www.facebook.com/5550296508/posts/10151674803141509"
"New virus called a global threat","The world needs to pull together its resources to properly tackle the virus, said the World Health Organization chief. The SARS-like virus has killed 23 people. http://on.cnn.com/16nDHu5","2013-05-28 15:32:54",1415,1487,"No","link","http://on.cnn.com/16nDHu5","http://www.facebook.com/5550296508/posts/10151675066801509"
"Scientists taking Chinese medicine west","Could centuries-old herbal remedies help cure some of our ailments? A Chinese company, partnering with Nestle, is working to secure FDA approval for drugs using traditional Chinese medicine: http://on.cnn.com/16nj9ls","2013-05-28 15:00:01",805,95,"Yes","link","http://on.cnn.com/16nj9ls","http://www.facebook.com/5550296508/posts/10151674726376509"
"Spelling bee shakes things up","In addition to unleashing gems like weissnichtwo and humuhumunukunukuapuaa on us, the 281 contestants in the Scripps National Spelling Bee, will have to know what the words mean too: http://on.cnn.com/110Ula0","2013-05-28 14:30:01",310,58,"No","link","http://on.cnn.com/110Ula0","http://www.facebook.com/5550296508/posts/10151674869731509"
